epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.22573648393154144,,,,
0,84,,,,0.925000011920929,0.1729128211736679,0.1729128211736679
0,84,0.8060661554336548,,0.43206077814102173,,,
1,99,,0.14322564005851746,,,,
1,149,,0.6392087936401367,,,,
1,169,,,,0.949999988079071,0.11534770578145981,0.11534770578145981
1,169,0.903124988079071,,0.22992831468582153,,,
2,199,,0.09330310672521591,,,,
2,249,,0.06281252205371857,,,,
2,254,,,,0.96875,0.09043718129396439,0.09043718129396439
2,254,0.9205882549285889,,0.1836792379617691,,,
3,299,,0.091824971139431,,,,
3,339,,,,0.9604166746139526,0.10669679194688797,0.10669679194688797
3,339,0.9049632549285889,,0.24229809641838074,,,
4,349,,0.1039821058511734,,,,
4,399,,0.29803478717803955,,,,
4,424,,,,0.9489583373069763,0.11545753479003906,0.11545753479003906
4,424,0.9248161911964417,,0.19794724881649017,,,
5,449,,0.10750603675842285,,,,
5,499,,0.14953352510929108,,,,
5,509,,,,0.9385416507720947,0.12804313004016876,0.12804313004016876
5,509,0.9257352948188782,,0.17842425405979156,,,
6,549,,0.11579229682683945,,,,
6,594,,,,0.9614583253860474,0.0968695655465126,0.0968695655465126
6,594,0.9209558963775635,,0.18317465484142303,,,
7,599,,0.13143384456634521,,,,
7,649,,0.17234684526920319,,,,
7,679,,,,0.9437500238418579,0.12801864743232727,0.12801864743232727
7,679,0.9167279601097107,,0.19028420746326447,,,
8,699,,0.09639705717563629,,,,
8,749,,0.16845816373825073,,,,
8,764,,,,0.9510416388511658,0.12335807830095291,0.12335807830095291
8,764,0.9229779243469238,,0.18585461378097534,,,
9,799,,0.139365553855896,,,,
9,849,,0.18527096509933472,,,,
9,849,,,,0.9645833373069763,0.0859765112400055,0.0859765112400055
9,849,0.9314337968826294,,0.16393883526325226,,,
10,899,,0.3363182842731476,,,,
10,934,,,,0.9708333611488342,0.07807288318872452,0.07807288318872452
10,934,0.9319853186607361,,0.17277619242668152,,,
11,949,,0.0852879136800766,,,,
11,999,,0.11404494941234589,,,,
11,1019,,,,0.9770833253860474,0.08577676117420197,0.08577676117420197
11,1019,0.9365808963775635,,0.16027086973190308,,,
12,1049,,0.14480599761009216,,,,
12,1099,,0.12458044290542603,,,,
12,1104,,,,0.9666666388511658,0.07880257815122604,0.07880257815122604
12,1104,0.929411768913269,,0.17768573760986328,,,
13,1149,,0.12077955901622772,,,,
13,1189,,,,0.9645833373069763,0.10742238163948059,0.10742238163948059
13,1189,0.9213235378265381,,0.188440203666687,,,
14,1199,,0.18371263146400452,,,,
14,1249,,0.12012390792369843,,,,
14,1274,,,,0.9677083492279053,0.08912388235330582,0.08912388235330582
14,1274,0.926838219165802,,0.17420341074466705,,,
15,1299,,0.0818929374217987,,,,
15,1349,,0.09627377241849899,,,,
15,1359,,,,0.965624988079071,0.09128044545650482,0.09128044545650482
15,1359,0.934926450252533,,0.15635398030281067,,,
16,1399,,0.15541484951972961,,,,
16,1444,,,,0.96875,0.10785803943872452,0.10785803943872452
16,1444,0.9141544103622437,,0.20617346465587616,,,
17,1449,,0.0890398770570755,,,,
17,1499,,0.14841638505458832,,,,
17,1529,,,,0.9697916507720947,0.11158648133277893,0.11158648133277893
17,1529,0.9316176176071167,,0.16973061859607697,,,
18,1549,,0.2113991528749466,,,,
18,1599,,0.10499341785907745,,,,
18,1614,,,,0.9635416865348816,0.0846586599946022,0.0846586599946022
18,1614,0.9384191036224365,,0.1464422196149826,,,
19,1649,,0.1301206350326538,,,,
19,1699,,0.1879516839981079,,,,
19,1699,,,,0.953125,0.1127522811293602,0.1127522811293602
19,1699,0.929963231086731,,0.16789361834526062,,,
20,1749,,0.1345687210559845,,,,
20,1784,,,,0.9624999761581421,0.08569665998220444,0.08569665998220444
20,1784,0.9257352948188782,,0.1733764410018921,,,
